,sR.Astrocyte,sR.B_cell,sR.BM,sR.BM & Prog.,sR.Chondrocytes,sR.CMP,sR.DC,sR.Embryonic_stem_cells,sR.Endothelial_cells,sR.Epithelial_cells,sR.Fibroblasts,sR.GMP,sR.Hepatocytes,sR.HSC_-G-CSF,sR.HSC_CD34+,sR.Keratinocytes,sR.Macrophage,sR.Monocyte,sR.MSC,sR.Myelocyte,sR.Neurons,sR.Neutrophils,sR.NK_cell,sR.Osteoblasts,sR.Platelets,sR.Pre-B_cell_CD34-,sR.Pro-B_cell_CD34+,sR.Pro-Myelocyte,sR.Smooth_muscle_cells,sR.T_cells,sR.Tissue_stem_cells
AFFINITY.1,1,0,4,0,1,0,3,0,3,340,0,2,16,15,12,4,7,17,0,0,0,8,3,1,2,39,0,2,4,3,1
AFFINITY.2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFINITY.3,0,0,0,0,0,1,2,0,1,127,0,0,0,2,1,0,3,1,0,0,0,0,1,0,0,3,0,0,0,0,1
AFFINITY.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,312,18,0,0,0,0,0,0,0,1,0,0,0,0,0
AFFINITY.5,0,0,2,0,0,0,3,0,2,178,0,1,11,0,3,3,5,1,0,0,0,0,0,0,0,6,0,0,1,1,1
AFFINITY.6,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFINITY.7,0,5,7,0,1,0,19,2,53,78,6,1,2,28,9,1,266,95,1,0,0,6,62,1,0,28,0,1,30,55,1
AFFINITY.8,0,0,2,0,0,0,6,1,1,139,1,3,12,7,12,4,18,23,1,0,0,6,4,0,2,44,0,2,6,1,0
AFFINITY.9,0,20,14,2,0,17,45,1,100,152,13,17,1,126,39,2,317,399,1,1,1,30,104,0,3,161,1,2,34,132,4
AFFINITY.10,0,0,2,0,0,9,1,0,0,0,0,7,0,15,15,0,4,11,0,1,0,1,17,0,2,36,0,0,0,1,0
AFFINITY.11,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,41,0,0,0,11,0,0,0,6,0,0,0,0,0
AFFINITY.12,0,0,0,0,10,0,1,0,13,47,4,1,0,0,14,1,1,3,4,0,1,1,1,0,0,1,0,0,68,0,2
