,sR.B_cell,sR.BM,sR.CMP,sR.Erythroblast,sR.GMP,sR.HSC_-G-CSF,sR.Monocyte,sR.NK_cell,sR.Platelets,sR.Pre-B_cell_CD34-,sR.Pro-B_cell_CD34+,sR.Pro-Myelocyte,sR.T_cells
AFFINITY.1,0,0,0,0,0,0,0,1,0,0,0,0,0
AFFINITY.2,0,0,0,0,0,0,0,0,0,0,0,0,1
AFFINITY.3,0,0,0,0,0,0,0,0,0,0,0,0,1
AFFINITY.4,0,0,0,0,0,0,3,6,0,0,0,0,24
AFFINITY.5,0,0,0,0,0,0,0,0,0,0,0,0,1
AFFINITY.6,0,0,0,0,0,1,7,31,0,0,0,0,80
AFFINITY.7,0,0,0,0,0,0,0,2,0,0,0,0,0
AFFINITY.8,1,0,0,0,0,0,7,30,0,0,0,0,14
AFFINITY.9,4,4,0,0,3,3,81,58,0,8,0,0,703
AFFINITY.10,0,0,0,0,0,0,0,0,0,0,0,0,1
AFFINITY.11,0,0,0,0,0,0,5,27,0,1,0,0,38
AFFINITY.12,0,0,0,0,0,0,5,33,0,0,0,0,9
AFFINITY.13,19,0,0,0,22,6,148,16,21,9,3,0,979
AFFINITY.14,28,0,0,1,0,7,239,97,0,4,0,1,218
AFFINITY.15,0,0,0,0,0,1,0,0,0,0,0,0,0
AFFINITY.16,0,0,0,0,0,0,1,0,0,0,0,0,0
AFFINITY.17,6,0,2,0,0,17,706,63,0,9,0,0,256
AFFINITY.18,0,0,0,0,0,0,0,1,0,0,0,0,3
AFFINITY.19,0,0,0,0,0,0,1,0,0,0,0,0,0
AFFINITY.20,0,0,0,0,0,0,0,0,0,0,0,0,1
AFFINITY.21,0,0,0,0,0,3,41,179,0,3,0,0,125
AFFINITY.22,0,0,0,0,0,0,0,1,0,0,0,0,0
AFFINITY.23,0,0,0,0,0,0,0,0,0,0,0,0,1
AFFINITY.24,161,1,0,0,0,0,4,0,0,0,0,0,4
AFFINITY.25,0,0,0,0,0,0,0,1,0,0,0,0,0
AFFINITY.26,1,0,0,0,0,0,1,1,0,0,0,0,38
AFFINITY.27,0,0,0,0,0,0,1,0,0,0,0,0,0
AFFINITY.28,1,0,0,0,0,0,0,0,0,0,0,0,0
AFFINITY.29,0,0,0,0,0,0,0,0,0,0,0,0,1
